SuperWEB2(tm)

"Domestic Overnight Trips"
"Quarter and Stopover state/region/SA2 by Stopover reason"
"Counting: Overnight trips (000)"

Filters:
"Default Summation","Overnight trips (000)"

,"Stopover reason","Holiday","Visiting friends and relatives","Business","Other reason","No other reason","In transit","Not stated/not asked","Total",
,"Great Ocean Road",430.4234922,153.5633334,36.2839362,0,0,3.3477371,0,619.2660168,
,"High Country",167.1183867,102.1858666,10.220252,15.8670849,0,7.7315995,3.0100675,300.9925944,
,"Lakes",201.3489687,71.0654321,13.6310729,7.9487711,0,7.397461,0,298.9314967,
,"Macedon",27.1191388,54.4404587,4.9722062,3.7748035,0,0,0,90.3066072,
,"Mallee",83.6412364,43.6493129,39.5916312,2.193812,0,1.3548849,0,168.5607085,
,"Melbourne East",20.1519896,42.6089772,5.3338632,0,0,0,2.5887403,70.6835703,
,"Murray East",8.5760284,21.2224866,7.9301827,3.3917177,0,4.9389962,0,46.0594116,
,"Peninsula",225.9454183,138.0279847,12.2732828,3.7079333,0,0,0,379.9546191,
,"Phillip Island",184.6662761,30.425081,2.5293257,5.2267073,0,0,0,222.8473901,
,"Spa Country",32.2187524,37.6466081,2.2891827,0,0,0,0,72.1545432,
,"Upper Yarra",68.8419721,7.0829009,3.8867532,0,0,0,0,79.8116262,
,"Western Grampians",30.8875104,37.5412014,7.3243952,0.8866228,0,2.1830236,0,78.8227534,
,"Wimmera",4.3400424,19.9557251,2.6217251,0,0,3.1088307,0,30.0263233,
,"Victoria",2379.5577497,1807.3125525,568.9337879,204.6866015,0,49.0173914,32.4205287,4954.6518558,
,"Brisbane",342.0079628,552.4929217,282.0378033,50.7643335,0,6.7841423,0,1215.0958156,
,"Bundaberg",28.9515937,72.3968682,8.0630044,0,0,0.8546,0,110.2660663,
,"Central Queensland",74.3775158,79.3441375,79.3764677,17.4859337,0,14.5944727,0,255.1093686,
,"Darling Downs",103.5595494,207.8687644,73.7235394,17.1651146,0,8.4334146,0,398.1061114,
,"Fraser Coast",86.5091249,31.5344868,6.8777816,2.7694416,0,1.0590514,0,125.8888,
,"Gold Coast",598.8883792,277.0457649,68.9819948,22.1010634,0,0,0,967.0172023,
,"Mackay",31.3767459,25.8030222,20.747497,2.1420439,0,0,0,80.069309,
,"Northern",35.5778728,64.3073997,40.4097328,4.0808988,0,0,0,144.3759041,
,"Outback",27.255665,27.3257152,7.7280932,5.0460258,0,3.7394709,0,68.8562444,
,"Sunshine Coast",448.9940542,216.9903953,50.0431508,17.0900126,0,6.0310485,0,739.1486614,
,"Tropical North Queensland",161.3240013,62.284988,29.4193891,4.6278107,0,0,0,255.10165,
,"Whitsundays",73.0249503,24.7016298,13.317817,0,0,1.6002159,0,108.6851382,
,"Queensland",1772.0511922,1528.1448839,652.9690332,137.6507096,0,34.4604013,10.6291282,4011.9503399,
,"Adelaide",186.7720696,265.7548591,138.4674189,42.3108254,0,3.0551617,4.5199044,637.4525521,
,"Adelaide Hills",20.6068023,12.4842808,4.1064634,1.063292,0,0,3.0100675,40.207614,
,"Barossa",34.7422838,24.2940674,8.7525795,0,0,0,0,67.7889307,
,"Clare Valley",24.3791583,7.2819411,1.7288762,1.0266159,0,0.3132789,0,34.7298704,
,"Eyre Peninsula",94.9004703,27.775394,19.6946325,5.8120908,0,3.0929456,1.5098369,152.7853701,
,"Fleurieu Peninsula",127.2226621,39.3773303,5.938517,4.7827625,0,0,3.0100675,180.3313394,
,"Limestone Coast",47.8742044,67.1377589,13.743014,1.2970711,0,0,3.0100675,133.0621159,
,"Murraylands",76.3517148,20.7508968,4.5053048,8.3862186,0,0,0,109.994135,
,"Riverland",45.3979806,26.4646456,19.6929922,2.6628863,0,0,1.5098369,95.7283416,
,"Yorke Peninsula",107.536625,35.4646316,5.6861981,2.821757,0,0,0,151.5092117,
,"Flinders Ranges and Outback",30.2662187,62.6637192,27.8267681,12.1147298,0,7.4638959,0,139.4487089,
,"Kangaroo Island",28.8582094,3.5465706,2.315039,3.9599574,0,0,0,38.6797764,
,"South Australia",755.9491269,552.1350174,243.0139711,78.759749,0,9.7674303,30.6631823,1629.1390378,
,"Experience Perth",300.4580059,301.5799224,100.9911474,61.9011284,0,5.8953053,4.5199044,769.0786344,
,"Australia's Golden Outback",82.4717954,45.4062865,68.3618598,11.2515759,0,3.9595994,4.5199044,214.1015988,
,"Australia's North West",29.829291,15.9461762,25.6760046,5.0550539,0,0.4561862,0,75.3256902,
,"Australia's South West",422.2641543,123.2422963,42.7181537,3.7738817,0,1.2538357,4.5199044,592.5546456,
,"Australia's Coral Coast",106.5920785,51.9694503,11.7560733,0.8621115,0,4.034427,1.5098369,173.5650787,
,"Western Australia",849.4196277,511.8582794,237.7553639,82.8437514,0,13.8893317,24.7234059,1665.9492925,
,"Hobart and the South",232.9161075,115.254812,41.813569,12.7927629,0,2.14763,2.5887403,402.493183,
,"East Coast",128.851532,18.0625879,5.3167325,0,0,0,2.5887403,151.269743,
,"Launceston, Tamar and the North",150.8729159,91.3002746,16.2257651,7.5737106,0,0,2.5887403,264.6494995,
,"North West",110.5522845,45.9567675,33.5726395,0,0,0,2.5887403,191.9036637,
,"Wilderness West",84.8803603,5.3842512,9.6135667,0,0,0,2.5887403,102.4669185,
,"Tasmania",388.2041532,235.5675478,112.2347968,17.5692532,0,2.14763,46.5294726,741.6889814,
,"Darwin",20.5011277,15.342226,28.01324,3.7789028,0,0.7667681,0,68.4022646,
,"Barkly",3.542346,5.7625285,1.1274409,0,0,2.4641893,3.1771542,16.0736589,
,"Alice Springs",11.4357679,4.7709243,9.5790425,2.0006455,0,1.6305849,0,29.4169651,
,"Kakadu Arnhem",5.0965193,1.8258195,3.0871441,1.0231277,0,0,3.1771542,14.2097648,
,"Katherine Daly",6.3763549,7.1437812,21.1567198,0.8995696,0,1.080047,0.7667681,36.6564725,
,"Lasseter",7.8767772,0,2.3781313,2.4405729,0,0,0,12.6954814,
,"MacDonnell",3.4456267,0,10.3462185,0,0,0,0,13.7918452,
,"Northern Territory",45.6775492,24.4638989,73.2893297,9.0417426,0,4.3110044,9.4427759,160.3364926,
,"Canberra",114.0701235,215.9399869,103.3592363,58.7727408,0,0,1.0030476,493.1451351,
,"ACT",114.0701235,215.9399869,103.3592363,58.7727408,0,0,1.0030476,493.1451351,
"June quarter 2004","Sydney",510.8602107,721.1006565,627.3416489,159.89457,0,2.9687746,0,2014.0288665,
,"Blue Mountains",92.5097971,43.9144898,30.3803808,1.3328779,0,4.2431912,0,172.3807368,
,"Capital Country",94.077772,103.6004607,33.5606412,9.7078161,0,4.7146769,0,245.6613669,
,"Central Coast",189.6682146,160.2722565,34.3629427,0,0,0,0,384.3034138,
,"Central NSW",205.9593972,216.490016,98.4228111,13.6155224,0,26.7176986,0,553.6667812,
,"Hunter",311.7073975,317.5062911,78.4735716,10.7111688,0,14.3172348,0,732.7156638,
,"New England North West",149.5666773,168.292814,114.1113113,22.2761662,0,43.966519,0,494.8190873,
,"North Coast NSW",627.0840463,350.5028644,59.9329339,23.7622196,0,10.1902858,0,1062.1930406,
,"Outback NSW",52.6664392,26.0490167,35.9460566,0,0,0,0,113.2940867,
,"Riverina",65.7073935,75.2095307,42.1007465,7.5295479,0,15.2427005,0,205.7899191,
,"Snowy Mountains",62.3212583,22.3627846,7.3615763,5.9164414,0,0,0,97.9620606,
,"South Coast",400.2014414,270.2438784,37.6815349,29.3506601,0,0,0.9134227,736.2790604,
,"The Murray",157.3503671,85.9688565,20.9812869,5.1483052,0,17.3528846,0,282.0774657,
,"New South Wales",2613.172289,2430.8586579,1182.9426899,283.5848581,0,93.6987722,40.4137359,6484.1428057,
,"Melbourne",409.1016419,687.6709646,503.1386868,98.4744682,0,1.1625366,0,1678.4264462,
,"Ballarat",57.741366,29.4417664,42.8620133,3.9367105,0,0,0,133.9818562,
,"Bendigo Loddon",80.2388086,142.1405656,7.3405861,5.0838479,0,2.8783124,0,237.6821206,
,"Central Highlands",59.2526523,39.9308435,13.9503874,4.6434643,0,8.4178179,0,122.1342448,
,"Central Murray",144.2858049,71.833382,30.6722736,0,0,2.1041386,0,248.8955991,
,"Geelong and the Bellarine",114.5947376,99.9215113,12.1730325,6.2275808,0,0,0,232.9168622,
,"Gippsland",148.9652963,117.6179749,26.402814,12.6796811,0,0,0,305.6657663,
,"Goulburn",42.3094776,40.2906717,13.9057626,2.1041386,0,4.7146769,0,103.3247274,
,"Great Ocean Road",269.8373069,112.7568313,64.6147846,5.5339938,0,3.4645487,0,449.2509156,
,"High Country",156.9278454,68.6939335,30.7455557,10.9821785,0,0.8177284,0,268.1672415,
,"Lakes",129.8482663,22.4066415,20.945672,3.6207115,0,0,0,176.8212913,
,"Macedon",12.4497371,10.2998103,0,2.3017742,0,0,0,25.0513216,
,"Mallee",110.2676792,70.0457067,37.6566716,2.3112211,0,4.8012532,0,225.0825318,
,"Melbourne East",14.9241484,35.2372146,13.754493,0,0,0,0,63.915856,
,"Murray East",7.0970987,14.0304583,0,0,0,0,0,21.127557,
,"Peninsula",169.3193896,62.0905011,29.4375977,7.4731034,0,0,0,268.3205918,
,"Phillip Island",81.6883514,30.5674089,4.5421135,9.5477814,0,0,0,126.3456552,
,"Spa Country",60.9449167,0.8790727,1.3581504,2.9687746,0,0,0,66.1509144,
,"Upper Yarra",51.0015964,8.5156271,12.201268,8.5657915,0,0,0,80.284283,
,"Western Grampians",36.5338848,51.7791261,14.9514154,0,0,0,0,103.2644263,
,"Wimmera",12.0125909,13.252189,5.7740702,0,0,2.4836878,0,33.5225379,
,"Victoria",1971.2060141,1640.6803006,852.8503196,183.1716264,0,23.6463358,35.1803782,4614.0911999,
,"Brisbane",379.1849432,512.8092921,230.547677,85.5065239,0,4.843548,0,1192.8189114,
,"Bundaberg",27.4230462,60.5721167,4.9165349,0,0,11.293959,2.8730658,107.0787226,
,"Central Queensland",42.1594921,64.2832737,67.4783415,8.6052625,0,22.1033043,2.8730658,206.3371383,
,"Darling Downs",107.6797003,158.3016925,79.0422571,36.1322337,0,12.0655426,0,388.4031348,
,"Fraser Coast",50.5904351,43.9090526,23.1006411,0,0,0,0,117.6001288,
,"Gold Coast",481.1586657,239.942826,63.6070427,8.2424583,0,0,0,791.5302066,
,"Mackay",94.8395076,42.440688,41.352698,3.0031825,0,11.1877132,2.8730658,195.6968551,
,"Northern",104.0214251,71.681566,47.8139263,20.8341609,0,3.0540225,2.8730658,247.704451,
,"Outback",48.1796775,18.7094365,59.2480733,8.9854926,0,5.9186084,0,141.0412883,
,"Sunshine Coast",447.5389251,219.6445636,63.3467765,27.2277577,0,6.2381806,0,763.2292105,
,"Tropical North Queensland",220.4321471,143.4132709,80.6513553,8.0816581,0,0,2.8730658,445.5653944,
,"Whitsundays",77.0187256,14.8994242,9.036697,0,0,0,2.8730658,103.8279126,
,"Queensland",1883.2312148,1504.6068032,689.162977,204.3136592,0,60.8291761,28.6310825,4225.543655,
,"Adelaide",135.9060186,213.8409703,229.7141455,56.0269055,0,3.2169731,0,638.705013,
,"Adelaide Hills",4.0609206,15.1306263,6.1167046,2.0589476,0,0,0,27.3671991,
,"Barossa",28.8991518,9.9716854,16.9416819,0,0,0,0,55.8125191,
,"Clare Valley",19.2291911,19.3320999,9.4357422,0.4088642,0,0,0,48.4058974,
,"Eyre Peninsula",22.4277624,35.1901963,19.6802269,0,0,3.0226578,3.3005932,82.511154,
,"Fleurieu Peninsula",93.037953,44.8559725,4.4004217,2.4271216,0,0,0,144.7214688,
,"Limestone Coast",79.6872834,62.7188274,14.949665,0.7741681,0,0.5163398,0,158.1299439,
,"Murraylands",28.4067683,29.3466002,2.7389533,1.6459141,0,1.2248993,0,63.3631352,
,"Riverland",65.7045822,37.720769,9.0137321,5.4166894,0,0.9038571,0,118.7596298,
,"Yorke Peninsula",100.1180101,26.6881627,8.6718964,0,0,0,2.3871705,137.8652397,
,"Flinders Ranges and Outback",71.8503645,29.784406,29.203014,0.9038572,0,4.9622875,3.3005932,137.9066797,
,"Kangaroo Island",16.8569297,7.8269948,1.7805956,0.5173154,0,0,0,26.9818355,
,"South Australia",591.1070884,479.6732494,313.2980803,69.6624677,0,13.8470146,29.0827166,1470.8723738,
,"Experience Perth",235.2925095,320.7219096,163.2112039,59.0897527,0,2.9024938,3.3005932,781.883562,
,"Australia's Golden Outback",30.8050992,44.5004893,42.688974,8.3599114,0,6.4313421,3.3005932,134.4970292,
,"Australia's North West",34.764692,8.8512565,73.8608027,0,0,0,0.9134227,117.5391892,
,"Australia's South West",286.7164142,162.9768378,58.0417541,17.3299292,0,0,2.3871705,520.846459,
,"Australia's Coral Coast",97.8742389,37.0953815,31.3556543,4.5376483,0,0,0.9134227,170.8724886,
,"Western Australia",659.0429042,550.0716639,362.0945184,88.8917493,0,8.4299788,17.620539,1657.883668,
,"Hobart and the South",120.9483447,85.0580772,87.7559056,12.208563,0,0,0,305.320504,
,"East Coast",79.5318923,9.2317149,0,2.6841309,0,0,0,91.4477381,
,"Launceston, Tamar and the North",81.081177,45.2242227,47.7040349,7.4631524,0,0.6177267,0,182.0903137,
,"North West",65.7755751,23.8393203,18.8812568,2.4497643,0,0,0,110.9459165,
,"Wilderness West",39.3318102,8.4205541,4.8060702,1.9257539,0,0,0,53.7171954,
,"Tasmania",231.8791696,167.7769617,137.7192989,25.6242666,0,0.6177267,21.2264602,562.4878134,
,"Darwin",46.2490504,29.4050144,25.3421403,3.9616429,0,1.5023571,0.9134227,105.0641273,
,"Barkly",10.4494257,1.5374677,4.7853112,0,0,3.3437885,0,20.1159931,
,"Alice Springs",26.3460521,11.8766974,8.8005499,5.3287605,0,1.3591659,0.9134227,54.6246485,
,"Kakadu Arnhem",28.7407892,1.2067088,16.1144719,0.5164083,0,0,0,46.5783782,
,"Katherine Daly",20.3924792,4.7944369,16.8328162,1.5023571,0,1.7484024,1.4861752,46.1839145,
,"Lasseter",26.9210533,0,14.3951988,1.8261066,0,0,0,43.1423587,
,"MacDonnell",7.6449349,0.5495328,1.4819024,0,0,0,0,9.6763701,
,"Northern Territory",127.2521335,46.6504303,83.0451575,9.4830622,0,6.594548,5.194432,258.1734256,
,"Canberra",136.9660938,179.653882,141.2154663,25.616047,0,0.8177284,0,478.7361047,
,"ACT",136.9660938,179.653882,141.2154663,25.616047,0,0.8177284,0,478.7361047,
"September quarter 2004","Sydney",496.920503,649.5831459,627.2116941,61.9618508,0,9.1719438,9.4028653,1838.6477768,
,"Blue Mountains",64.768775,36.991503,5.9964937,1.5912456,0,0,0,109.3480173,
,"Capital Country",79.0327769,103.3902155,16.0533684,14.838126,0,0,0.348655,213.6631418,
,"Central Coast",98.6570638,146.2538374,34.7355714,0,0,3.1383345,0.348655,283.1334621,
,"Central NSW",169.9634347,169.7488849,123.5008726,17.0662435,0,12.2531207,3.2946034,495.8271598,
,"Hunter",270.6729722,207.9104527,127.0265315,11.2493435,0,1.9288466,0.348655,619.1368015,
,"New England North West",171.9617524,111.9706627,76.7272781,21.0173331,0,21.0378853,4.7490233,407.4639349,
,"North Coast NSW",454.8999903,359.2301161,125.0844786,18.1698534,0,32.2161829,3.638108,985.5911965,
,"Outback NSW",63.0710335,29.3355369,21.1087958,8.0209317,0,4.7949959,0.7898952,127.121189,
,"Riverina",66.8611014,102.3972497,30.1443914,8.467337,0,23.6549968,1.9016142,233.4266905,
,"Snowy Mountains",299.7957366,27.0398067,11.0349613,8.8528157,0,3.0053076,1.5529592,346.6645791,
,"South Coast",322.2861675,221.0398733,47.6460982,15.2470876,0,8.7154767,3.638108,616.0352838,
,"The Murray",111.7186956,91.7577802,33.5120921,7.7164127,0,19.8407488,1.1385502,265.6842796,
,"New South Wales",2354.3492206,2093.7722844,1255.6861798,192.8433177,0,106.6248361,38.8109869,5912.7963891,
,"Melbourne",423.0753251,564.6574459,495.566202,59.9302131,0,9.2409007,0.7898952,1539.0936712,
,"Ballarat",47.208043,65.0820472,27.3097405,0,0,0,1.9798229,141.5796536,
,"Bendigo Loddon",86.8198373,64.7372492,38.3955815,6.480453,0,5.7971699,0,202.2302909,
,"Central Highlands",53.1124004,10.2076199,18.2869755,3.9078108,0,0,0.7898952,86.3047018,
,"Central Murray",80.5052888,64.1156508,5.4459928,0,0,1.9690921,2.5047082,154.5407327,
,"Geelong and the Bellarine",66.5468779,97.2932558,38.6775263,1.8854661,0,1.0558165,0,205.4589426,
,"Gippsland",89.574976,84.9769774,35.1998352,8.0107345,0,0,0.348655,218.1111781,
,"Goulburn",30.2931861,71.7195102,16.7751708,3.9381843,0,0,0.348655,123.0747064,
,"Great Ocean Road",203.6318365,49.7737968,49.3181822,5.1166877,0,8.1996745,0,316.0401777,
,"High Country",274.5810726,66.5829597,18.2935944,12.4762836,0,12.6560242,0,381.7662905,
,"Lakes",54.6229627,16.2298312,37.7221859,1.3140945,0,3.0889746,1.9016142,114.8796631,
,"Macedon",11.7706314,16.5544695,7.6447093,4.2860316,0,0,0,40.2558418,
,"Mallee",72.2707115,37.4727707,29.4719586,9.6625045,0,2.700837,3.289453,154.8682353,
,"Melbourne East",27.1957397,46.9095465,10.6513626,6.3894129,0,0,0,91.1460617,
,"Murray East",2.2536265,12.845583,5.1469663,17.7199386,0,2.6524978,0,40.6186122,
,"Peninsula",98.6425602,119.4091023,16.8095892,10.0633966,0,0.9845461,0.348655,246.2578494,
,"Phillip Island",53.7245012,35.9683327,0,3.9898537,0,0,0,93.6826876,
,"Spa Country",58.8568315,9.3256103,8.0729638,0,0,0,0,76.2554056,
,"Upper Yarra",16.0113411,1.050739,0,4.1269866,0,0,0,21.1890667,
,"Western Grampians",15.3835632,39.5467613,2.7523617,2.9806294,0,2.5785891,0,63.2419047,
,"Wimmera",9.3291024,27.5339489,2.6026028,0,0,0,2.1680827,41.6337368,
,"Victoria",1687.3406436,1427.916757,824.1987292,162.2786815,0,50.9241225,39.3146861,4118.2613673,
,"Brisbane",339.6694244,450.4233564,330.3887098,44.769585,0,0,5.9066462,1171.1577218,
,"Bundaberg",71.9698387,34.4527141,66.4074045,1.8020882,0,6.8844545,6.2553012,187.7718012,
,"Central Queensland",103.786317,158.680548,60.3363204,10.2554021,0,11.4731901,11.2006364,352.5136034,
,"Darling Downs",158.8469437,177.4723859,116.7216306,28.9781541,0,9.1086192,13.9502729,498.8296534,
,"Fraser Coast",107.3638324,36.181919,31.3223458,0,0,0,8.7600094,183.6281066,
,"Gold Coast",532.4798894,204.7580438,127.0882356,16.101381,0,3.1383345,10.4965032,893.4623765,
,"Mackay",48.2007045,50.8783517,70.2914638,13.1917637,0,1.3482853,2.0851488,185.9957178,
,"Northern",101.1566313,86.4138378,102.0669798,25.7801277,0,4.3746887,7.64314,324.6663492,
,"Outback",65.2001974,56.3850533,79.9067863,0.5516786,0,3.1103454,16.0422449,221.1963059,
,"Sunshine Coast",473.1591145,252.7506104,43.8623998,10.2289889,0,8.379591,4.589857,791.5860335,
,"Tropical North Queensland",333.2835123,93.4559894,68.8614656,35.815048,0,1.7227338,8.3472732,529.1251842,
,"Whitsundays",102.453462,7.2638771,23.1538838,4.7075017,0,0,5.9066462,143.4853708,
,"Queensland",1988.7852271,1489.9399654,995.8036375,178.1047453,0,40.1839212,40.9960724,4604.3572933,
,"Adelaide",112.9890536,183.408378,242.4943675,59.2224325,0,0,3.6614429,597.5560745,
,"Adelaide Hills",16.159782,14.0430339,28.6015152,0.8917248,0,0,0,58.8043311,
,"Barossa",20.6172647,23.5370775,18.587132,0,0,0,0,62.7414742,
,"Clare Valley",26.0713438,8.8124942,0,0,0,1.9690921,0,36.8529301,
,"Eyre Peninsula",36.0865171,12.6351884,14.0770622,3.511535,0,1.9690921,6.7761242,75.055519,
,"Fleurieu Peninsula",78.6581661,24.127603,5.1468645,0,0,0,2.1680827,110.1007163,
,"Limestone Coast",32.9833438,26.376532,29.7194389,4.2514399,0,1.6834291,2.7697181,97.7839018,
,"Murraylands",26.8023061,25.1466428,5.8893872,2.6156763,0,5.6917541,4.9543623,68.6504747,
,"Riverland",41.9560344,43.9071358,6.7355357,1.8192718,0,1.9690921,0,96.3870698,
,"Yorke Peninsula",66.6124985,30.7944246,16.2491903,2.0512597,0,0,2.1680827,117.8754558,
,"Flinders Ranges and Outback",71.5674944,23.1168439,25.1304439,1.8281059,0,8.9987975,13.4569643,142.2653724,
,"Kangaroo Island",15.5623401,0,3.1356972,0,0,0,0,18.6980373,
,"South Australia",479.6326436,380.1792326,369.8233489,73.1540886,0,18.3430728,23.3088928,1311.4852604,
,"Experience Perth",239.9886719,300.6995499,188.5205558,41.4121873,0,6.0089347,7.9569786,772.4901433,
,"Australia's Golden Outback",105.4038657,67.5722476,39.2145895,5.7978036,0,6.9007534,11.2464316,233.2180102,
,"Australia's North West",89.675711,19.5751307,83.4353744,7.5134943,0,0,14.7979739,207.3533269,
,"Australia's South West",220.6763435,124.356668,62.2826371,19.3830839,0,0,5.0854309,421.6455258,
,"Australia's Coral Coast",116.3443215,35.0900429,31.5553077,6.4076199,0,3.5497941,11.2464316,199.6668845,
,"Western Australia",653.4732683,524.0909572,370.9121376,79.7128987,0,16.4594822,17.2743831,1608.3951328,
,"Hobart and the South",74.0339676,41.0852328,71.6989433,5.7917059,0,1.3361481,0,192.6592561,
,"East Coast",18.0481418,8.4718758,9.3430432,0,0,0,0,35.8630608,
,"Launceston, Tamar and the North",26.1907838,42.6248147,49.8982653,5.7054453,0,0,0,124.4193091,
,"North West",19.7308409,24.0115972,21.1087848,0,0,0,0.7898952,65.6411181,
,"Wilderness West",8.1457727,1.3881451,2.5350594,0,0,0,0,12.0689772,
,"Tasmania",132.4817145,117.5816656,126.2254779,10.9175883,0,1.3361481,15.2980604,392.2852427,
,"Darwin",128.2653805,27.4440164,54.3124386,1.6840714,0,2.6654499,10.6324015,225.0037583,
,"Barkly",20.1673576,0,7.6926319,0,0,3.213327,14.9249705,45.998287,
,"Alice Springs",74.3812909,19.0143241,10.7824435,0.3998197,0,3.9887763,9.887193,114.4392229,
,"Kakadu Arnhem",82.4921238,9.2623637,8.1039829,0,0,0.7927704,4.4845311,105.1357719,
,"Katherine Daly",84.97401,2.6836372,22.2244935,0,0,3.213327,14.8031243,123.2506179,
,"Lasseter",39.3969313,3.3718174,8.4625359,0,0,0,5.7392874,56.970572,
,"MacDonnell",17.2536022,0,20.2629029,0,0,0.3998197,3.7210419,41.6373667,
,"Northern Territory",248.0216336,55.9575399,105.8984299,2.0838911,0,7.8468163,25.9532563,426.4569863,
,"Canberra",129.6151561,159.5321975,105.7449802,29.0029772,0,3.8199171,1.7364938,429.4517219,
,"ACT",129.6151561,159.5321975,105.7449802,29.0029772,0,3.8199171,1.7364938,429.4517219,
"December quarter 2004","Sydney",427.1806465,833.3570373,570.0770504,64.6742497,0,10.1123769,1.4533975,1902.2516942,
,"Blue Mountains",74.3684822,32.5353533,16.8333896,0,0,1.1443369,0,123.7372251,
,"Capital Country",68.7268692,138.5402525,17.6291438,13.8733088,0,9.2524359,5.3469403,251.563675,
,"Central Coast",126.7518165,180.4036035,28.1234956,4.9085008,0,1.1443369,0,341.3317533,
,"Central NSW",184.3292307,226.5659623,85.9388724,19.0774604,0,36.1236312,4.4731523,545.8031163,
,"Hunter",257.6247278,253.0004565,66.9925209,20.7734398,0,4.5279865,2.331964,600.723109,
,"New England North West",117.9535399,159.9912165,42.9894789,5.6962448,0,4.7162894,3.7055872,333.9645584,
,"North Coast NSW",582.310509,330.0026018,114.3951516,35.9989227,0,16.9116056,9.8719265,1074.3324863,
,"Outback NSW",25.453226,25.4732004,23.8513838,14.6213937,0,8.0684664,3.8978008,101.3654711,
,"Riverina",62.0978073,135.5884471,83.8011621,0,0,11.7363745,5.3050866,298.5288776,
,"Snowy Mountains",90.9057834,40.9808546,25.4569329,4.9281836,0,4.9281836,6.0375512,159.6156221,
,"South Coast",443.3817244,227.7315506,71.8432013,11.9720786,0,6.5340964,3.4474582,761.2402972,
,"The Murray",157.134795,121.2474743,57.3085089,13.6519777,0,0.6858324,6.8358229,352.6865551,
,"New South Wales",2361.9190818,2530.0956079,1144.9873207,188.2005324,0,78.908442,61.0231675,6217.6732592,
,"Melbourne",376.1389839,569.1322234,401.9101742,62.3942223,0,1.0330966,6.7205635,1416.5094991,
,"Ballarat",49.6309677,59.1616841,32.1753485,12.5530727,0,0,3.0149763,156.5360493,
,"Bendigo Loddon",60.342808,100.8949588,23.2738968,18.9667654,0,0,0,203.478429,
,"Central Highlands",58.2543537,17.8707949,2.3701071,0,0,2.0744298,2.1748509,82.7445364,
,"Central Murray",119.6976264,46.0283729,8.8026264,2.0444664,0,0,0,176.5730921,
,"Geelong and the Bellarine",83.8025405,81.8148215,17.3312636,1.109318,0,0,0,184.0579436,
,"Gippsland",114.116951,103.2965702,20.722587,4.1649418,0,0,5.3469403,247.6479903,
,"Goulburn",31.7373017,80.3560184,49.2346033,0,0,2.4489967,2.942416,166.7193361,
,"Great Ocean Road",214.2814424,100.6830032,31.3361,3.7211106,0,4.6738721,3.0177964,354.1701243,
,"High Country",143.8003108,97.8799488,35.1550301,0,0,4.0996067,3.0149763,280.4517422,
,"Lakes",89.8380663,39.2345852,9.7190778,0,0,1.4939316,5.3469403,145.6326012,
,"Macedon",7.7559521,23.8863875,3.2897579,8.0140546,0,0,0,42.9461521,
,"Mallee",84.2431372,62.8473188,38.7692931,0.8655669,0,4.7941263,13.0096345,203.6635099,
,"Melbourne East",28.4842974,30.3970808,7.8612552,0,0,0,3.0149763,69.7576097,
,"Murray East",4.2687296,20.1023749,4.2330336,15.2623481,0,0,0,43.8664862,
,"Peninsula",120.9333684,90.6355192,11.7199357,0,0,0,0,223.2888233,
,"Phillip Island",153.6150967,49.1691102,13.700174,10.0951896,0,0,0,226.5795705,
,"Spa Country",24.1782926,17.8526448,9.7876395,0,0,0,0,51.8185769,
,"Upper Yarra",52.7780055,22.823566,0,0,0,0,0,75.6015715,
,"Western Grampians",15.2028434,33.403527,8.7901173,0,0,0,0,57.3964877,
,"Wimmera",8.1622029,15.1233092,4.2100692,0,0,0,0,27.4955813,
,"Victoria",1681.4490987,1580.2579654,725.8544018,128.1512311,0,18.1690631,37.7579991,4113.4749765,
,"Brisbane",273.8922094,532.9670098,316.234663,136.2695967,0,5.812255,0.7675651,1261.0055109,
,"Bundaberg",28.831015,36.8730523,15.3804083,5.9278445,0,0,4.3914196,91.4037397,
,"Central Queensland",119.4828064,93.4078169,111.8262574,1.5456781,0,26.8602955,5.1589847,350.6869907,
,"Darling Downs",139.2299513,136.99755,37.2614707,13.4410992,0,9.4503783,4.4731523,337.145337,
,"Fraser Coast",77.4965487,57.9406682,7.1963762,0,0,9.0086577,4.3914196,156.0336704,
,"Gold Coast",558.4375669,223.3704334,118.9547136,19.2179583,0,0,3.0177964,921.564994,
,"Mackay",50.6674585,56.1092571,28.3447713,27.8516715,0,3.6822173,6.7233836,169.6704945,
,"Northern",61.2576414,87.2513407,32.7549002,15.2971304,0,0,4.3914196,200.9524323,
,"Outback",45.3767766,24.2902883,38.9401556,6.51873,0,3.7766511,9.935352,126.492824,
,"Sunshine Coast",396.9481151,273.1361227,39.9612345,10.3304093,0,0,3.7853615,723.3601277,
,"Tropical North Queensland",167.8698199,81.6291338,77.6299979,10.8911135,0,0,6.7233836,335.3042599,
,"Whitsundays",30.8815328,1.9809944,8.8626941,6.0360201,0,14.5186281,3.0177964,65.2976659,
,"Queensland",1719.5274537,1524.2981486,789.996619,253.3272516,0,49.5817972,50.5084612,4270.4674931,
,"Adelaide",158.0570262,231.7860383,123.0611006,57.6255736,0,3.2489236,12.3218437,585.0601885,
,"Adelaide Hills",8.492838,7.8156616,5.1464077,0.6858324,0,0,3.1302357,25.2709754,
,"Barossa",36.9938847,12.3867002,5.7179615,0,0,0,0,55.0985464,
